business id,menu_items,is_popular
1125,snake river farms kurobota ham ,0
1125,avocado and roma tomatoes ,0
1125,'eggs florentine' with arugula and tomatoes ,0
1125,fried oysters and bacon benedict ,1
1125,dungeness crab with fine herbs ,1
1125,eggs hussarde ,0
1125,eggs clark ,0
1125,acadiana benedict,0
1125,"frisee, arugula, and bacon lardons salad ",0
1125,grilled asparagus wrapped with prosciutto ,0
1125,croque madame ,0
1125,toulouse breakfast sandwich ,0
1125,'big easy' housemade andouille sausage scramble ,0
1125,housemade tasso ham and tomato confit scramble ,0
1125,crawfish and tasso scramble ,0
1125,acadiana scramble ,0
1125,garlic sausage and tomato confit scramble,0
1125,dungeness crab and asparagus scramble ,0
1125,creme caramel french toast ,1
1125,classic buttermilk pancakes,0
1125,honey-vanilla yogurt,0
1125,holiday blunch nog punch,0
1125,toulouse mud bug cafe,0
1125,maple-walnut breakfast old fashioned,0
1125,florentine brunch cocktail,0
1125,bourbon street lush,0
1125,sazerac,0
1125,katie-mae,0
1125,madame toulouse,0
1125,toulouse hurricane,0
1125,st. charles sangria,0
1125,creole bloody mary,0
1125,champagne mimosa,0
1125,grilled skirt steak and arugula salad ,0
1125,nicoise seared tuna salad ,0
1125,true french onion soup lyonnaise,1
1125,seafood gumbo,0
1125,cauliflower soup with dungeness crab,0
1125,creole grilled gulf prawn and avocado salad,0
1125,hearts of romaine salad with crispy hot coppa,0
1125,toulouse market salad,0
1125,"yellow beets, haricots verts and pistachios",0
1125,smoked mozzarella en crudo,0
1125,dungeness crab over fried green tomatoes,0
1125,crawfish 'beignets' with pepper 'chow chow',0
1125,penn cove mussels mariniere with fine herbs ,0
1125,sinister' pan seared wild pacific shrimp,0
1125,housemade garlic fennel sausage,0
1125,braised and fried carlton farms bacon,0
1125,crispy fried pork cheeks confit,0
1125,rustic duck and pistachio terrine,0
1125,aromatic lamb ragu 'sloppy joe',0
1125,pork cheeks confit 'reuben' with gruyere,0
1125,prosciutto and hot coppa,0
1125,hot cajun meatloaf sandwich,0
1125,croque monsieur,0
1125,the toulouse lunch burger ,0
1125,the toulouse lamb burger ,0
1125,grilled chicken club with bacon and avocado,0
1125,buttermilk fried chicken breast,0
1125,cajun grilled chicken breast,0
1125,cornmeal fried idaho catfish,0
1125,"fried yearling oysters, bacon and provolone",0
1125,blackened gulf shrimp,0
1125,pacific prawns and chicken jambalaya,0
1125,blackened pacific long line rockfish ,0
1125,toulouse seafood gumbo,0
1125,'barbecued' shrimp new orleans,0
1125,"creole crawfish, shrimp and andouille sausage",0
1125,classic shrimp creole,1
1125,"local rockfish, prawns and mussels court bouillon",0
1125,pan seared diver scallops ,0
1125,creole pan seared line-caught king salmon ,0
1125,fried half chicken with tasso-black pepper gravy,0
1125,cajun meatloaf with tasso-black pepper gravy,0
1125,housemade garlic-fennel sausage,0
1125,wild boar bolognese,0
1125,aromatic ellensburg lamb shoulder ragu,0
1125,fennel braised pork shoulder sugo,0
1125,creole prawn and tasso linguine,0
1125,toulouse salad,0
1125,hearts of romaine with crispy coppa & pine nuts,0
1125,"yellow beets, haricots verts, and stilton bleu",0
1125,smoked mozzarella en 'crudo' with heirloom tomatoes,0
1125,"local dungeness crab, blood oranges and avocado",0
1125,seafood 'nola' salad,0
1125,"cauliflower, leeks and asparagus 'vichyssoise'",1
1125,true french onion soup lyonnaise,0
1125,cup of seafood gumbo,0
1125,savory crawfish and pacific shrimp 'beignets',0
1125,dungeness crab and fried green tomato 'ravigote',0
1125,wild prawns in a red basil - coriander 'pesto',0
1125,'sinister' pan seared wild pacific prawns,0
1125,tombo tuna tartare ,0
1125,totten inlet manila clams,0
1125,penn cove mussels,0
1125,grilled asparagus,0
1125,fried carlton farms pork cheeks confit,0
1125,crispy fried braised and cured bacon,0
1125,housemade boar-garlic sausage,0
1125,muscovy duck and boar terrine with pistachios,0
1125,toulouse usda prime rib eye steak  frites,1
1125,blackened prime rib eye ,0
1125,new york steak au poivre ,0
1125,center cut prime filet ,0
1125,filet  with crawfish-tasso sauce,0
1125,filet 'oscar' revisited with dungeness crab and fines herbs ,0
1125,usda prime new york strip loin ,0
1125,center cut prime filet ,0
1125,the toulouse beef burger ,0
1125,pan seared diver scallops ,0
1125,pan-seared fresh alaskan halibut ,0
1125,line caught wild alaskan king salmon ,0
1125,big easy jambalaya,0
1125,wild pacific shrimp and housemade andouille,0
1125,jumbo 'barbecued' shrimp new orleans,0
1125,toulouse seafood gumbo,0
1125,jumbo wild pacific shrimp creole,0
1125,ll fresh rockfish in a creole court bouillon,0
1125,fennel braised pork shoulder sugo,0
1125,toulouse wild boar and lamb shoulder bolognese,0
1125,foraged mushrooms with prosciutto tagliatelle,0
1125,creole jumbo wild prawns and tasso linguine,0
1125,aromatic ellensburg lamb shoulder ragu,0
1125,housemade garlic-fennel boar sausage,0
1125,braised rabbit with prosciutto pappardelle,0
1125,buttermilk fried petit half chicken,1
1125,pan seared petit half chicken,0
1125,oven roasted muscovy duck confit,1
1125,toulouse pureed potatoes,0
1125,pommes frites with aioli,0
1125,fried green tomatoes with creole remoulade,0
1125,madame toulouse,0
1125,katie-mae,0
1125,easy street,0
1125,st. charles sangria,0
1125,toulouse hurricane,0
1125,sazerac,0
1125,negroni,0
1125,boulevardier,0
1125,sliver lining,0
1125,hendricks mule,0
1125,pendennis club,0
1125,incline hopped cider,0
1125,spire mt. dark & dry cider,0
1125,spicy lamb slider,0
