,review_id,business_id,entities,sentence,len
652,58,1118,"[('sliders', 270, 277), ('beef patties', 298, 310)]","we stuffed ourselves and i am now a fan of dosa and am so so glad that the x list brought me here! good things so pretty much everything we ordered appetizer vada pav veggie slider okay so the name really does not do it justice, mostly because i love meat and think all sliders should be made with beef patties, but this was so flavorful and delicious",2
653,58,1118,[],the bun is sweet and the caramelized onions provide a nice contrast to the dry but perfectly seasoned potatoes,0
654,58,1118,"[('spicy chili', 45, 56), ('butter', 89, 95)]","the dish comes with gunpowder, which is this spicy chili powder that you mix with melted butter to form a chili spread",2
655,58,1118,[],it is really fun to make haha,0
656,58,1118,[],btw this is also super spicy,0
657,58,1118,[],main courses channa bhatura probably my favorite indian dish ever,0
658,58,1118,"[('gigantic fried', 5, 19)]","this gigantic fried, puffy dough comes out and hot steam actually comes out when you tear into it",1
659,58,1118,"[('bread', 47, 52), ('chickpea', 85, 93)]",it is such a wonderful sight! then you dip the bread into this wonderfully flavorful chickpea dish and you can expect what my roommate calls a food baby for the rest of the evening,2
660,58,1118,[],so worth it,0
661,58,1118,[],"i've had this dish at vik's chaat in berkeley, but the puffy thing is overly greasy there",0
662,58,1118,[],it is actually quite light and flavorful here,0
663,58,1118,[],"paper masala dosa this is what i came to try, the infamous paper masala dosa",0
664,58,1118,[],"it is actually humungous so, if you can visualize, three girls at the smallest table possible with the giant bhatura and now this long dosa too",0
665,58,1118,"[('potato', 170, 176), ('sauces', 223, 229), ('tomato sauce', 240, 252), ('coconut sauce', 259, 272)]","i think we were in a little over our heads when we ordered so our waiter advised us on how to eat this, by tearing off a piece of the crispy dosa and dipping it into the potato mixture and then dipping it into one of three sauces sambar, a tomato sauce and a coconut sauce",4
666,58,1118,[],"we ended up mixing and matching everything on our table, which was an extremely pleasant experience for our tastebuds haha",0
667,58,1118,[],"the only complaint about this dish is that the dosa itself is a little salty, so dipping it is kind of necessary to offset the saltiness",0
668,58,1118,[],"dessert rasmalai i do not know how we managed to do this because we basically had carbs for our entire meal, but we ended up picking this",0
669,58,1118,"[('panna cotta', 83, 94), ('cheese', 110, 116), ('rosewater', 122, 131)]",it is a surprisingly light dessert even though it is creamy and has the texture of panna cotta but is made of cheese! the rosewater fragrance is really nice and the pistachios add a great texture,3
670,58,1118,[],perfect way to end such a heavy meal,0
671,58,1118,[],the total came out to be after tax and tip,0
672,58,1118,[],the best part was probably our waiter who explained how to eat everything haha,0
673,58,1118,[],definitely coming back to try all the other different dosas,0
674,58,1118,[],and to have something with meat,0
675,58,1118,[],,0
828,75,1118,[],"i brought my family who was visiting for philadelphia on a saturday night, and the ambiance looked promising",0
829,75,1118,[],first off we were not even provided a drink menu,0
830,75,1118,"[('fries', 57, 62), ('sprouts', 82, 89)]","we ordered an assortment of shared plates including idli fries, vada pav, brussel sprouts, and avocado bhel",2
831,75,1118,[],"we spoke with the waitress letting her know that my wife was allergic to chickpeas, she confirmed with the chefs and informed us that she could have everything except the vada pav",0
832,75,1118,"[('chickpeas', 31, 40)]","turns out the avocado bhel had chickpeas, which we informed our waitress about and later spoke with the manager about",1
833,75,1118,[],manager then confirmed that the rest of our dosas and uttapam order will have no chickpeas,0
834,75,1118,[],"ridiculously, everything contained it",0
835,75,1118,"[('chickpeas', 16, 25), ('chickpeas', 55, 64)]","the sambhar has chickpeas, the dosa potato filling had chickpeas",2
836,75,1118,[],the manager confirmed with the chefs and they blatantly lied and denied that there was chickpeas,0
837,75,1118,[],the manager had to show the actual split chickpeas in the filling before they accepted it,0
838,75,1118,[],plain ridiculous and unacceptable,0
839,75,1118,[],our waitress was also very slow and did not check up on us,0
840,75,1118,[],we accidentally spilled water and despite staring right at us did nothing to help,0
841,75,1118,[],which for a high end establishment is just plain wrong,0
842,75,1118,[],"apart from those major issues, the overall food was pretty average",0
843,75,1118,"[('sauces chutneys', 167, 182)]","shared plates were good, but the dosas were standard indian fare, could not taste any pear flavor in the pear masala dosa, the uttapams were not fully cooked, and the sauces chutneys were subpar",1
844,75,1118,[],if you are looking for modern indian cuisine there are many better options in the city,0
845,75,1118,[],dosa was very disappointing and i would not recommend it,0
846,75,1118,[],,0
1043,97,1116,[],"there has to be a reason why there is always a line out the door, why people are willing to wait up to minutes just to get inside, why there are thousands of raving reviews",0
1044,97,1116,"[('buns', 27, 31)]",and that reason is morning buns,1
1045,97,1116,"[('lemon', 8, 13)]",and the lemon cream tart,1
1046,97,1116,[],and the savory scone,0
1047,97,1116,"[('lemon', 8, 13)]",and the lemon bar,1
1048,97,1116,[],it was our first time here and we did not know what to expect,0
1049,97,1116,[],"obviously parking in the city is tough, but we found a meter a few blocks away",0
1050,97,1116,[],"we got there around am, so i was worried about the wait",0
1051,97,1116,[],"the line wrapped around the corner, but it went by quickly",0
1052,97,1116,[],it was longer by the time we left,0
1053,97,1116,[],the employees were kicking ass with the never ending line,0
1054,97,1116,[],they got us in and out quickly and painlessly,0
1055,97,1116,"[('buns', 57, 61)]",we had to stop ourselves from ordering more than morning buns,1
1056,97,1116,[],"i had read tons of yelp reviews raving about those delicious pastries, and i knew that i had to try one",0
1057,97,1116,[],or five,0
1058,97,1116,"[('lemon', 20, 25), ('lemon', 43, 48)]",we also picked up a lemon cream tart and a lemon bar because my boyfriend absolutely loves all things lemony,2
1059,97,1116,[],"man, that tart was just heavenly so smooth, so creamy, so decadent",0
1060,97,1116,"[('lemon', 4, 9), ('pine nut crust', 69, 83)]","the lemon bar was the perfect combination of tart and sweet, and the pine nut crust was so buttery and crumbly",2
1061,97,1116,[],"with all this sweetness, we also picked up a savory scone for some salty counterbalance",0
1062,97,1116,[],"my god, what a clutch decision to get that scone",0
1063,97,1116,[],it was probably the best scone i had ever had in my life,0
1064,97,1116,"[('bacon', 192, 197)]","i was initially hesitant about trying it because scones are usually too dry for my liking, but this bad boy was buttery and moist from the cheese and it packed a helluva flavor punch from the bacon",1
1065,97,1116,[],i'm salivating just thinking about it,0
1066,97,1116,"[('box', 43, 46)]","everything tasted amazing fresh out of the box, and they surprisingly held up well after a day or two, so we had a wonderful treat for our trip home",1
1067,97,1116,[],"totally worth the wait, i'm looking forward to trying everything else!",0
1251,120,1116,"[('sidewalk', 75, 83)]",we landed here at about am on a saturday to a nontrivial line out onto the sidewalk that only got longer with time,1
1252,120,1116,"[('ham', 71, 74), ('onion', 176, 181), ('cheese pastry', 186, 199), ('lemon cream', 202, 213), ('banana cream', 224, 236)]","we ended up purchasing a great variety of pastry, including a slice of ham and leek quiche , frangipane croissant, morning bun, pain au jambon hamandcheese croissant , gougere onion and cheese pastry , lemon cream tart, and banana cream tart per the many, many recommendations here",5
1253,120,1116,[],may have gotten a few more pastries i cannot recall,0
1254,120,1116,[],this was definitely not a cheap excursion,0
1255,120,1116,[],"these pastries ran us north of , tax included",0
1256,120,1116,[],"that said, most everything was good, and several were great",0
1257,120,1116,"[('sorry vegans', 120, 132), ('contain cheese', 147, 161)]","the gougere was a surprise hit, flaky, pungent with onion but not overpowering, and probably a good bet for vegetarians sorry vegans, i think they contain cheese",2
1258,120,1116,[],the quiche and hamandcheese croissant were both very solid,0
1259,120,1116,"[('banana cream', 54, 66)]","as i expected from reading the many reviews here, the banana cream tart was far and away the star of the show",1
1260,120,1116,[],"deliciously pudding custardy texture not too sweet or too bland, but exactly right",0
1261,120,1116,"[('banana cream', 34, 46)]","i noticed they have full piesized banana cream tarts as well something to explore later, i think",1
1262,120,1116,"[('lemon', 11, 16)]","sadly, the lemon tart was the biggest miss",1
1263,120,1116,"[('lemon', 35, 40)]",bland and did not really have much lemon flavor,1
1264,120,1116,[],give it a pass,0
1265,120,1116,[],"i did not find all pastries to be uniformly amazing, the prices were steep, and nobody enjoys waiting in line",0
1266,120,1116,[],"if it were not for those issues, this place would have gotten stars from me",0
1267,120,1116,[],"also, since this is the mission, there is no parking to be had either",0
1268,120,1116,[],"i will probably be back sometime in future, but unless you are a local with time to kill standing around in line without having to worry about parking, this is not an everyday visit kind of place",0
1269,120,1116,[],,0
1315,125,1116,"[('sidewalk', 75, 83)]",we landed here at about am on a saturday to a nontrivial line out onto the sidewalk that only got longer with time,1
1316,125,1116,"[('ham', 71, 74), ('onion', 176, 181), ('cheese pastry', 186, 199), ('lemon cream', 202, 213), ('banana cream', 224, 236)]","we ended up purchasing a great variety of pastry, including a slice of ham and leek quiche, frangipane croissant , morning bun, pain au jambon hamandcheese croissant , gougere onion and cheese pastry , lemon cream tart, and banana cream tart per the many, many recommendations here",5
1317,125,1116,[],may have gotten a few more pastries i cannot recall,0
1318,125,1116,[],this was definitely not a cheap excursion,0
1319,125,1116,[],"these pastries ran us north of , tax included",0
1320,125,1116,[],"that said, most everything was good, and several were great",0
1321,125,1116,"[('sorry vegans', 120, 132), ('contain cheese', 147, 161)]","the gougere was a surprise hit, flaky, pungent with onion but not overpowering, and probably a good bet for vegetarians sorry vegans, i think they contain cheese",2
1322,125,1116,[],the quiche and hamandcheese croissant were both very solid,0
1323,125,1116,"[('banana cream', 54, 66)]","as i expected from reading the many reviews here, the banana cream tart was far and away the star of the show",1
1324,125,1116,[],"deliciously pudding custardy texture not too sweet or too bland, but exactly right",0
1325,125,1116,"[('banana cream', 34, 46)]","i noticed they have full piesized banana cream tarts as well something to explore later, i think",1
1326,125,1116,"[('lemon', 11, 16)]","sadly, the lemon tart was the biggest miss",1
1327,125,1116,"[('lemon', 35, 40)]",bland and did not really have much lemon flavor,1
1328,125,1116,[],give it a pass,0
1329,125,1116,[],"i did not find all pastries to be uniformly amazing, the prices were steep, and nobody enjoys waiting in line",0
1330,125,1116,[],"if it were not for those issues, this place would have gotten stars from me",0
1331,125,1116,[],"also, since this is the mission, there is no parking to be had either",0
1332,125,1116,[],"i will probably be back sometime in future, but unless you are a local with time to kill standing around in line without having to worry about parking, this is not an everyday visit kind of place",0
1333,125,1116,[],,0
1447,134,1116,[],"have you ever seen that meme from futurama where fry yells, shut up and take my money! while waving a handful of cash that is literally how i feel every time i step into tartine",0
1448,134,1116,[],"because my apartment is only a few blocks away, this is actually very dangerous",0
1449,134,1116,[],almost as dangerous as cliff jumping or shark diving,0
1450,134,1116,[],except i go like once a week,0
1451,134,1116,[],so yeah,0
1452,134,1116,[],"sometimes, i just feel like i deserve a pat on the back for being such a daredevil, you know morning bun",0
1453,134,1116,"[('cinnamon roll', 56, 69)]","stars the perfect marriage of a classic croissant and a cinnamon roll, this pastry is what tartine is best known for",1
1454,134,1116,"[('cinnamon', 79, 87), ('orange', 93, 99)]","think of a flaky croissant dough that is been rolled up and topped with sugar, cinnamon, and orange zest",2
1455,134,1116,[],these will be sold out come afternoon though a blessing in disguise since they are best eaten fresh,0
1456,134,1116,"[('banana cream', 0, 12)]",banana cream tart,1
1457,134,1116,[],"for for stars i've always been a sucker for banana flavored pastries, and this one is no different",0
1458,134,1116,"[('bananas', 4, 11), ('cream', 26, 31)]","the bananas are ripe, the cream is succulent, the tart is flaky",2
1459,134,1116,[],perfectly balanced out with thin slivers of bitter dark chocolate,0
1460,134,1116,[],croissant,0
1461,134,1116,[],stars the first thing you realize about a tartine croissant is its ginormous size,0
1462,134,1116,"[('burnt', 68, 73)]","the second is the dark brown exterior, almost to the point of being burnt",1
1463,134,1116,[],do not worry though this means it is more flavorful,0
1464,134,1116,[],"the moment you hear that crunch and crackle while digging your teeth into this treat, you know you are in for a good time",0
1465,134,1116,[],chocolate eclair,0
1466,134,1116,[],stars a standard eclair that is excellently done,0
1467,134,1116,"[('vanilla cream', 12, 25)]",packed with vanilla cream and glazed with luscious valhrona chocolate,1
1468,134,1116,[],pure decadence,0
1469,134,1116,[],frangipane croissant,0
1470,134,1116,"[('almond', 33, 39), ('cream', 76, 81), ('pastry cream', 118, 130)]","stars tartine's rendition of the almond croissant is filled with frangipane cream, which is composed of brandy syrup, pastry cream, and almonds",3
1471,134,1116,[],"to finish, it is topped with powdered sugar and more crunchy almonds",0
1472,134,1116,"[('ham', 0, 3)]",ham quiche,1
1473,134,1116,[],stars a solid savory option to balance out all the sugar,0
1474,134,1116,[],the body of this quiche is light and silky,0
1475,134,1116,"[('banana cream', 52, 64)]",i'm pretty sure they use the same crust here as the banana cream tart so good,1
1476,134,1116,"[('bread', 0, 5)]",bread pudding,1
1477,134,1116,[],small,0
1478,134,1116,"[('bread', 35, 40)]","large stars served piping hot, the bread pudding was my least favorite of the bunch",1
1479,134,1116,[],"although i did enjoy the tartness of the fruits, i thought the pudding itself was too mushy",0
1480,134,1116,[],this offputting texture made it feel like i was eating scrambled eggs,0
1481,134,1116,[],,0
1814,167,1116,"[('sidewalk', 75, 83)]",we landed here at about am on a saturday to a nontrivial line out onto the sidewalk that only got longer with time,1
1815,167,1116,"[('ham', 71, 74), ('onion', 175, 180), ('cheese pastry', 185, 198), ('lemon cream', 201, 212), ('banana cream', 223, 235)]","we ended up purchasing a great variety of pastry, including a slice of ham and leek quiche, frangipane croissant, morning bun, pain au jambon hamandcheese croissant , gougere onion and cheese pastry , lemon cream tart, and banana cream tart per the many, many recommendations here",5
1816,167,1116,[],may have gotten a few more pastries i cannot recall,0
1817,167,1116,[],this was definitely not a cheap excursion,0
1818,167,1116,[],"these pastries ran us north of , tax included",0
1819,167,1116,[],"that said, most everything was good, and several were great",0
1820,167,1116,"[('sorry vegans', 120, 132), ('contain cheese', 147, 161)]","the gougere was a surprise hit, flaky, pungent with onion but not overpowering, and probably a good bet for vegetarians sorry vegans, i think they contain cheese",2
1821,167,1116,[],the quiche and hamandcheese croissant were both very solid,0
1822,167,1116,"[('banana cream', 54, 66)]","as i expected from reading the many reviews here, the banana cream tart was far and away the star of the show",1
1823,167,1116,[],"deliciously pudding custardy texture not too sweet or too bland, but exactly right",0
1824,167,1116,"[('banana cream', 34, 46)]","i noticed they have full piesized banana cream tarts as well something to explore later, i think",1
1825,167,1116,"[('lemon', 11, 16)]","sadly, the lemon tart was the biggest miss",1
1826,167,1116,"[('lemon', 35, 40)]",bland and did not really have much lemon flavor,1
1827,167,1116,[],give it a pass,0
1828,167,1116,[],"i did not find all pastries to be uniformly amazing, the prices were steep, and nobody enjoys waiting in line",0
1829,167,1116,[],"if it were not for those issues, this place would have gotten stars from me",0
1830,167,1116,[],"also, since this is the mission, there is no parking to be had either",0
1831,167,1116,[],"i will probably be back sometime in future, but unless you are a local with time to kill standing around in line without having to worry about parking, this is not an everyday visit kind of place",0
1832,167,1116,[],,0
1864,172,1116,[],"when i knew i was going to visit my gf in sf, i yelped around for bakeries, and remember there was a popular french bakery that was raved about in sf",0
1865,172,1116,[],"i yelped around and right knew it had to be tartine since it had over , reviews",0
1866,172,1116,"[('patisserie', 43, 53)]",and yes the pictures were just the type of patisserie i was looking for,1
1867,172,1116,[],i was worried at first because i knew there would be a long crazy line but luckily when we went it was not that bad,0
1868,172,1116,[],"i liked the atmosphere, small, but cozy and quaint",0
1869,172,1116,[],simple and clean,0
1870,172,1116,[],i was overwhelmed because everything looked so good and i wanted it all! i came here twice since first time they were out of a few things and i wanted to come earlier and really get the full experience,0
1871,172,1116,[],_frangipane tart,0
1872,172,1116,"[('almond cream', 23, 35), ('seasonal fruit', 41, 55)]","flaky pastry she will, almond cream with seasonal fruit",2
1873,172,1116,"[('banana cream', 81, 93)]","this was the first thing i got when i came here, even though my heart wanted the banana cream tart",1
1874,172,1116,[],"it looked good, but taste wise was a let down",0
1875,172,1116,[],"it tasted average, and a bit try",0
1876,172,1116,"[('almond', 66, 72)]",not as flaky or buttery and did not have much flavor besides just almond,1
1877,172,1116,"[('fruit', 4, 9), ('berry', 37, 42)]",the fruit was i believe some type of berry,2
1878,172,1116,"[('blueberry', 6, 15), ('boysenberry', 19, 30)]","maybe blueberry or boysenberry, which was not that sweet and the flavors did not really come through",2
1879,172,1116,[],"for the price, this was not worth it at all",0
1880,172,1116,"[('_banana cream', 0, 13)]",_banana cream tart,1
1881,172,1116,"[('chocolate', 0, 9), ('caramel coated flaky pastry', 14, 41)]",chocolate and caramel coated flaky pastry,2
1882,172,1116,"[('banana cream', 97, 109)]","because i was disappointed with the tart above, i decided to just follow my heart and go for the banana cream tart",1
1883,172,1116,"[('banana cream', 188, 200)]","it was huge so i originally was afraid to eat it all by myself, since my gf cannot have too much sweets, but i'm on vacay so f it! so glad i ended up getting this, because it was the best banana cream tart i've had",1
1884,172,1116,"[('banana cream', 23, 35)]","actually i never had a banana cream tart, just pie",1
1885,172,1116,"[('bananas', 46, 53)]","the crust is more buttery, flaky and thickthe bananas were fresh, and they added a good amount",1
1886,172,1116,"[('cream', 4, 9)]",the cream was a good ration and not too sweet,1
1887,172,1116,[],the caramel inside was subtle and not too sweet but balanced the other flavors,0
1888,172,1116,"[('chocolate', 4, 13)]",the chocolate inside seemed dark and rich,1
1889,172,1116,"[('chocolate shavings', 33, 51)]",now this is worth the price! the chocolate shavings were amazing as well,1
1890,172,1116,"[('chocolate chocolate', 17, 36)]",a must! _pain au chocolate chocolate croissant i came back second day for this but took this home with me back to la,1
1891,172,1116,"[('toaster oven', 16, 28)]",i put it in the toaster oven and it was still good,1
1892,172,1116,[],"this is a double chocolate croissant, so more chocolate",0
1893,172,1116,"[('chocolate', 4, 13), ('milk chocolate', 65, 79)]",the chocolate seemed semi dark and a bit more rich and bold than milk chocolate,2
1894,172,1116,[],"it was good, but chocolate croissant you can get anywhere, this is good if you just want that sweet pastry",0
1895,172,1116,[],_morning bun,0
1896,172,1116,"[('cinnamon', 0, 8), ('candied orange', 16, 30)]","cinnamon sugar, candied orange",2
