text,entities
"hostess our waitress everyone else who helped bring out the food, cleared the table and helped us box our food our waitress never introduced herself and was not very friendly. when she came by with the dessert menu she simply placed it in front of us while looking behind her at the other table then walked away. no joke, there was no eye contact. she was overall aloof. i doubled the tax for tips to be honest i wanted to tip even less but i know part of it goes to bus boys as well as kitchen staff. food crab cakes special of the day fried scallop the porterhouse with cracked pepper special of the day bone in veal creme brulee cheesecake although the writing on the desserts beautiful! my stars is basically for the steaks. harris has always been my favorite but after this last visit i think we will be sticking to ruth's chris steakhouse down the street. always friendly customer service good steaks, good appetizers and a bonus creme brulee is yummy!","[(507, 517, 'FOOD'), (537, 550, 'FOOD'), (555, 586, 'FOOD'), (606, 618, 'FOOD'), (619, 631, 'FOOD'), (632, 642, 'FOOD'), (721, 727, 'FOOD'), (900, 906, 'FOOD'), (936, 948, 'FOOD')]"
"food . . service . . value . . decor . . overall . . big fan of harris'. great old school steakhouse serving great steaks. what gets me about the place is why they bother to run such a diluted menu by serving anything other than dry aged prime beef it is a bit like trying to navigate a minefield going down the menu. otherwise, all thumbs.","[(115, 121, 'FOOD'), (229, 248, 'FOOD')]"
"i do not take pride in writing this review, due to the excellent reviews that we we excited to experience, but here goes. great first impression, a gentleman greeted us and let us know a top would be open in a few minutes. he pointed to the pizza bar right in the middle end of the restaurant where two spinners were open. upon sitting down the lady to my left said her son was sitting there. bummer. the host let us know it should only be a few more minutes for a solo table off to the right. minutes later we were sat on the left hand side, they separated a four top by inches and sat against the wall. intimacy does not come to mind. we order right away lg margarita half pepperoni and water with lemon. shortly after a lady brings out a steaming hot pizza, full pepperoni. we advise them of the error and our server comes back, asks if it was half pep then gives me a look and walks away. rude and inappropriate, especially without and apology. we go out for an experience and this was one of the worst we have had in ny. for a pizza and we got treated like they did not want us there. honestly, i have had better slices in manhattan.","[(241, 246, 'FOOD'), (660, 684, 'FOOD'), (754, 759, 'FOOD'), (766, 775, 'FOOD'), (1032, 1037, 'FOOD')]"
"okay, so there is a lot of 'blue hair' encountered in this iconic establishment. if you can get over that fact then you are in for a wonderful oldschool steak house experience. i have been fortunate enough to enjoy this place for over decades. the overall food experience has slipped a bit since the matriarch of this iconic restaurant was last seen welcoming guests and guiding this place she was a bluehair too, btw . i will still venture over to this place once in a while to enjoy their secondtonone beef dishes. their bar is still has a cozy, 'upper crust' and again oldschool feel to it. on weekends they have a jazz pianist gently tickling the ivories for bar guests. sitting in that bar will make you feel special and pampered. you might almost expect tony bennett to step from behind the curtains to serenade the unsuspecting patrons of this establishment with a tune or two. the waitstaff is excellent at what they do. the bartender still knows how to make all the standards perfectly. there is usually not even a hipster in sight. the manbuns will usually catch fire upon entering thru these hallowed doors i am told. after the premeal drinking has subsided it is on to the main course their food. i have seldom ventured far from their beef entrees. my choice has always been their executive cut of prime rib. many might say that house of prime rib hopr up a few blocks on van ness has a better p.r. i would beg to differ. harris' can really deliver that large hunk of juicy wonderfulness cooked to perfection mediumrare is what few other establishments have been able to match in all of my years of adult life. hopr has much more a tourist joint feel to it. harris' does not. much quieter and a more stately ambiance oozes from their cozy comfy leathery table booths. that is another reason why you would choose to go to harris' for your p.r. than to hopr. i am not too excited about harris' side dishes other than their baked potato , nor their desserts. i am here for only the meat. take all those other dishes away, they do not much concern me. the harris' prime rib and their steaks, i hear is the center of attention. oh.their inhouse made bread is the bomb too! oh.and they have a very wonderful side room for private dining while with a larger group. mahvelous dahling!","[(504, 508, 'FOOD'), (1247, 1251, 'FOOD'), (1310, 1319, 'FOOD'), (1350, 1359, 'FOOD'), (1933, 1945, 'FOOD'), (2072, 2081, 'FOOD'), (2092, 2098, 'FOOD'), (2157, 2162, 'FOOD')]"
"we arrived on a random saturday afternoon at pm to a line out the door. the line was almost to grimaldi's next door. my party of basically got in line and started looking at other pizza joints to check out within walking distance that did not have such long lines as these spots. well we had a minute wait and were seated at the bar. fyi, if given the option to sit at the bar, say yes. you get to watch them make all the pizzas and oversee all the action. it was great! as for the pizza itself. we ordered the small margherita pizza with half pepperoni on it, and it was delicious. the crust was not too thin but not super thick. everything was perfectly cooked. not greasy. great size for us girls about . slices each. note that this place closes at so the kitchen staff can clean the oven. if you come to brooklyn, make sure you stop by. i have bookmarked this spot so i can come back every visit!","[(180, 185, 'FOOD'), (422, 428, 'FOOD'), (482, 487, 'FOOD'), (517, 553, 'FOOD'), (517, 533, 'FOOD'), (528, 533, 'FOOD')]"
"Delicious brooklyn pizza! Busy almost any time of the day it seems. There was a line even at 2:30 on a weekday. Worth the wait, it moves quickly! Freshly made to order pizza. Pies only! No. 1 - the truffles called us and Margherita. They have two sizes and the three of us split the medium. We were stuffed! The pizza was delicious - thin crust without being too chewy. It was not too salty as well after the pizza cooled down a bit. Ample toppings and cheese. The truffle in the No. 1 came out very nicely. Probably can't choose a favorite between the two - one is a restaurant special and the other is a classic well done.","[(19, 24, 'FOOD'), (168, 173, 'FOOD'), (175, 179, 'FOOD'), (198, 206, 'FOOD'), (221, 231, 'FOOD'), (312, 317, 'FOOD'), (409, 414, 'FOOD'), (453, 459, 'FOOD'), (465, 472, 'FOOD')]"
"i've been eating at harris' a few times a year for a long time. this is the sort of place you go after settling a case or otherwise having a big day. service tends to be smooth if a bit fawning, but the atmosphere is civilized and the tables spread out. last night i ran into a couple of problems. i ordered my usual harris steak, a thick bonein new york. this is a fine piece of meat. i ordered mine medium rare, but after a couple of bites it became clear that my steak was served medium well. when the waiter checked in i pointed this out. he offered to bring me a new steak, which was nice enough, but this would mean throwing out the old. i am not okay with wasting meat, and i kind of think that this is the sort of mistake a top steakhouse should never make. so i ate my overcooked steak and did not even ask for a bottle of ketchup to chase it down. i am a hero that way. the other problem was the temperature of the bottle of wine we ordered about five degrees too warm. different wines need differing treatment, and this should not have been brought to us a room temperature. i'm sure i will be back to the steakhouse i've long considered the best in town, but overcooked steak and warm wine need to be called out!","[(324, 329, 'FOOD'), (466, 471, 'FOOD'), (572, 577, 'FOOD'), (789, 794, 'FOOD'), (935, 939, 'FOOD'), (1182, 1187, 'FOOD'), (1197, 1201, 'FOOD')]"
"we went to dumbo and looked for the best rated places and julianas was one of them. pizza seemed like a choice that would not fail and so we went. we were seated quickly with menus given, but were never approached again until we were given the check. the pizza itself was a little above average, but it was soggy from the first bite. you could not hold it together with pinching the sides at all. my water glass ran empty halfway through the meal, so i began to drink my bfs until that ran empty too. i figured they would see the empty glasses and refill them, but they never did, until they asked after they dropped the check off. when we got the check we were surprised to see we would been charge the full price of toppings for both sides of the pizza. logic would be that we be only charged half as any other restaurant. we pointed this out to our waiter and told him we did not remember seeing this on the menu,and he agreed. he did not know what to say and had agreed with us, so he asked the manager. the manager came over and told us that it was clearly on the menu. when we asked where, he pointed to the probably size font at the bottom of the menu. we explained that we had not seen it and there was no asterisk to point us there, but he did not seem to care. we kept trying to tell him that other restaurants do not do this and it seems deceptive to not even tell us clearly on the menu does anyone read the tiny font without an asterisk pointing them to it . he did not care and looked as if he were bored and annoyed. so if you are ordering half and half on your pizza, make note that it will be full price for each topping instead of half. perhaps it was because they reopen at pm after their stoking of the coal oven and are super busy with the influx of customers, but i still do not think this is ok service at all. the place is also extremely crowded the chairs are super close to each other and it is hard to walk without asking someone to scoot their chair in.","[(84, 89, 'FOOD'), (255, 260, 'FOOD'), (749, 754, 'FOOD'), (1577, 1582, 'FOOD')]"
"to . stars. i expected to be blown away by this place but it was really only mediocre. service was pretty slow throughout the night. we started with the mixed green and balsamic salad. for entrees we all tried a few different things. i myself had the salmon. it was bland. the scalloped potatoes on the side were good, however. one of my dining companions had the chicken with sherry glaze. it was pretty good. another one at the table had the roast prime rib of beef. it was very good, as is expected from a steakhouse. for dessert we had the chocolate pot de creme. it was not anything special. they do have some good peanut brittle near the exit to grab on your way out.","[(153, 183, 'FOOD'), (251, 257, 'FOOD'), (277, 295, 'FOOD'), (364, 389, 'FOOD'), (444, 467, 'FOOD'), (544, 566, 'FOOD'), (620, 634, 'FOOD')]"
"we went here for our th wedding anniversary always wanted to try it but never did, we had the crab cakes which was good and the scallops were fried and had a sweet chili sause with it. it was good .my husband had a manhattan he is never tried it before . he thought it was ok . we each had a ribeye steak he had scallop potatoes with his and snap peas and carrot slivers . i had baked potatoe and the same veggies with mine it was really good the veggies .i also had the asparagus it was very good and fresh . my husband had cheesecake maybe he should have read the menu it had some strawberry sause on it .he likes it plain. i had the citrus baked alaska it was different . it was about without tip so it was .i told them it was our anniversary i see on some of their reviews they gave their customers dessert for their anniversary .we did not get any. but the waiter did wish us a happy anniversary. the waiter was very good and attentive . not worth the price . overrated and overpriced we doubt we would go back .","[(94, 104, 'FOOD'), (128, 136, 'FOOD'), (215, 224, 'FOOD'), (292, 304, 'FOOD'), (312, 328, 'FOOD'), (342, 351, 'FOOD'), (356, 370, 'FOOD'), (379, 392, 'FOOD'), (471, 480, 'FOOD'), (525, 535, 'FOOD'), (636, 655, 'FOOD')]"
"for years when i lived in san francisco, i came to you for special occasions, anniversaries, and just when my boy and i had a hankering for your pepper steak, prime rib, and onion soup. even when i moved out here to lv, i was a loyal fancoming to see you whenever my weekend schedule allowed me to. but every time when i make a reservation with my ot account, your maitre would would look at me bewildered as if he or she does not know what i am talking about. not once did i hear a welcome back utter from any of your staff. but that is ok because your good food and og ambience lured me back. even when one of your not so exceptional waitresses charged my card an extra hundred dollars or when each and every time when you would forget our button mushrooms or even when your office staff seem more confused than i am when i make a call about some special request or another. this, however, is the last straw. i know it was not intentional but i was so mortified that i had to create a yelp account to break up with you after all these years. i wanted to do something special for my boy and his parents in celebration of his graduation at your fine establishment and you messed it up. i called times today, wearing down the already thin hospitality, just to make sure everything is still ok but alas i should have known better. i will miss your onion soup","[(145, 157, 'FOOD'), (159, 168, 'FOOD'), (174, 184, 'FOOD'), (742, 758, 'FOOD'), (1346, 1356, 'FOOD')]"
"definitely an experience, because you will be hanging outside the restaurant more likely than not in line. note that around the corner there is starbucks and ice cream in case you want to indulge ahead of time. once you get inside the restaurant then service is wicked fast, which is super pleasant. we ordered the margharita pizza and the # . one thing i appreciated about both is that they were not that oily greasy. so you could really focus on the pizza itself. actually between the two the marg was my pizza of preference but our table was split between the two. do not get me wrong. i think both pizzas were great, but would i say super exceptional probably not. but at least worth checking out for yourself! prices are also very reasonable.","[(158, 167, 'FOOD'), (315, 331, 'FOOD'), (452, 457, 'FOOD'), (507, 512, 'FOOD'), (602, 608, 'FOOD')]"
"oh my, this was the most phenomenal ny pizza i had during my trip to the big apple! worth the chilly walk across the brooklyn bridge. my friend suggested juliana's and had mentioned it is the original grimaldi's. luckily, we were seated at the bar immediately. we came in for an early lunch, but at around noon there was a line forming out the door. the service was fantastic and attentive. waters were constantly refilled and our friendly server showed us that small was actually large enough to feed two people. we ordered the margherita pizza topped with extra toppings prosciutto and garlic for an additional cost. pizza was prepared fresh in front of our faces to our table and into our tummies. i would come back when i'm in brooklyn!","[(39, 44, 'FOOD'), (529, 545, 'FOOD'), (529, 594, 'FOOD'), (540, 545, 'FOOD'), (619, 624, 'FOOD')]"
"i walked the brooklyn bridge today, from the financial district. once exiting, i headed straight for juliana's. guys, there was a freaking line at pm. seriously, a crazy line. i was standing in the scorching sun. the good news it moved fast. waited only minutes or so. such a quick line. i ordered the small margarita pizza. added sausage and pepperoni to it for an additional . folks, this pizza is overrated. out of all the pizzas i had while in manhattan, this one is the worst. would i come back heck no. prob will go next door instead, as that pizza joint was poppin too! pics are attached. super thin pizza but super crappy taste too. ya sucks. the pizza was not even piping hot. it was just mediocre warm. blah!! can you imagine eating a pizza that does not even taste hot oh well that is all. not worth your time eating here. also, there are restrooms one upstairs and one downstairs.","[(308, 323, 'FOOD'), (331, 338, 'FOOD'), (343, 352, 'FOOD'), (391, 396, 'FOOD'), (549, 554, 'FOOD'), (607, 612, 'FOOD'), (655, 660, 'FOOD'), (745, 750, 'FOOD')]"
"well worth the wait and hype! get on the waiting list via yelp before arriving. normal lunch wait for two is . hrs! ok with that out of the way, the bf and i came here for lunch. on our way over we joined the wait list via yelp, wait time? hr minutes, holy... took us minutes to get there, squeezed past the crowds to check in, and the hostess told us they will text when ready. luckily, you have the beautiful millennium park across the street to sight see, play tourist, work up an appetite, and kill time. text came in which gave me minutes to get to the front. little did they know, i was already there. lol checked in once again and stood there waiting to be seated more parties ahead but all got seated quickly. service is fast, there are many servers, bus boys, and hostess. workers are very efficient and good at their job, which keeps the patrons flowing. now to the juicy part, the food corned beef hash skillet stars! the corned beef is homemade. comes with hash browns or fruit, toast or pancakes but sub with the berry bliss waffle but well worth it bc a seperate waffle order will cost you . the corned beef hash was so deliciously flavored, tender, minced, and yet still had a little crunch factor from the mixed in hash. berry bliss waffle + stars, this dish beats most waffles i have ever eaten. i was very full after finishing my benedicts, but knew i needed to try this beautiful waffle. i ended up eating half the waffle and wanted to order more regardless of how full i was. my boyfriend talked some sense into me and i sadly agreed. . florence benedict stars, loaded with spinach and bacon bites, topped with a perfectly poached egg, and dressed with a very nice, creamy hollandaise sauce with a hint of lemon. double espressostrong and flavorful orange juice freshly squeezed!","[(897, 921, 'FOOD'), (933, 944, 'FOOD'), (969, 980, 'FOOD'), (984, 989, 'FOOD'), (991, 996, 'FOOD'), (1000, 1008, 'FOOD'), (1026, 1044, 'FOOD'), (1077, 1083, 'FOOD'), (1110, 1121, 'FOOD'), (1110, 1126, 'FOOD'), (1231, 1235, 'FOOD'), (1237, 1255, 'FOOD'), (1286, 1293, 'FOOD'), (1348, 1357, 'FOOD'), (1399, 1405, 'FOOD'), (1434, 1440, 'FOOD'), (1557, 1574, 'FOOD'), (1594, 1601, 'FOOD'), (1606, 1617, 'FOOD'), (1643, 1654, 'FOOD'), (1693, 1710, 'FOOD'), (1726, 1731, 'FOOD'), (1733, 1748, 'FOOD'), (1769, 1781, 'FOOD')]"
"started the night with a round of cocktails and quickly moved on to a ml of schramsberg bdb with a dozen fresh oysters. ribeye, porterhouse, filet mignon, and their sides were all ordered and accompanied by a ml of sadie family columella . dessert was an order of vanilla bean cheesecake, and a baked alaska paired with a glass of taylor's yearold tawny port and a glass of chateau rieussec sauternes . one of the highlights of the trip. service food quality and portion sizes beverage list","[(34, 43, 'FOOD'), (76, 91, 'FOOD'), (105, 118, 'FOOD'), (120, 126, 'FOOD'), (128, 139, 'FOOD'), (141, 153, 'FOOD'), (215, 237, 'FOOD'), (264, 287, 'FOOD'), (295, 307, 'FOOD'), (331, 358, 'FOOD'), (374, 400, 'FOOD')]"
"we tried this spot years ago, not realizing that at that time, the original owner sold his shop grimaldi's to a customer. i seriously thought that was the best pizza i've ever tasted in my life! we decided to try the same location but with the treat of the original grimaldi's owners pizza, and unfortunately were left a little disappointed. we got the classic margherita pizza again and a couple beers. wait was about min. it was not bad, but it was not mindblowingly amazing like years ago from grimaldi's. unfortunately we did not have time this time around, but next time i'm in new york we are going to have to try juliana's and grimaldi's sidebyside.","[(160, 165, 'FOOD'), (284, 289, 'FOOD'), (361, 377, 'FOOD'), (372, 377, 'FOOD'), (397, 402, 'FOOD')]"
